=== PARKOUR PLAY-TEST ===
controller: walk/sprint/jumpHeight/gravity read from live component

--- capsule clearance sweep (player radius 0.35, height 2.0) ---
  Platform_Start: 98/648 stance samples BLOCKED by [Start_LeftRail, Start_BackWall, Start_RightRail]
  Plat_S1: 10/154 stance samples BLOCKED by [Guide_Arrow_01]
  Plat_S2: 8/120 stance samples BLOCKED by [Guide_Arrow_02]
  Deck_North: 48/440 stance samples BLOCKED by [Rail_DeckNorth_L, CP1_Top, CP1_Right, Rail_DeckNorth_R]
  Deck_South: 26/210 stance samples BLOCKED by [CP2_Top]
  Finish_TowerCap: 100/900 stance samples BLOCKED by [Finish_Top, Finish_GlowPad, Finish_Beacon, Finish_Right]
  290 blocked stance sample(s) - review

respawn [initial spawn (no checkpoint crossed)]: expected (0.00, 0.55, -4.50) got (0.00, 0.66, -4.50) error 0.110 -> OK
--- jump tests (real controller, real colliders) ---
leg                                          speed   result
Platform_Start       -> Plat_S1              walk    FAIL fell (peak rise 0.00)
Plat_S1              -> Plat_S2              walk    FAIL fell (peak rise 0.00)
Plat_S2              -> Plat_S3              walk    FAIL fell (peak rise 0.00)
Plat_S3              -> Plat_S4              walk    FAIL fell (peak rise 0.00)
Plat_S4              -> Plat_S5              walk    FAIL fell (peak rise 0.00)
Plat_S5              -> Plat_S6              walk    FAIL fell (peak rise 0.00)
Plat_S6              -> Plat_S7              walk    FAIL fell (peak rise 0.00)
Plat_S7              -> Plat_S8_Pillar       walk    FAIL fell (peak rise 0.00)
Plat_S8_Pillar       -> Deck_North           walk    FAIL fell (peak rise 0.00)
Deck_North           -> Plat_B1              walk    FAIL fell (peak rise 0.00)
Plat_B1              -> Plat_B2              sprint  FAIL fell (peak rise 0.00)
Plat_B2              -> Plat_B3              sprint  FAIL fell (peak rise 0.00)
Plat_B3              -> Plat_B4              walk    FAIL fell (peak rise 0.00)
Plat_B4              -> Plat_B5              walk    FAIL fell (peak rise 0.00)
Plat_B5              -> Plat_B6              walk    FAIL fell (peak rise 0.00)
Plat_B6              -> Plat_B7_Beam         walk    FAIL fell (peak rise 0.00)
Plat_B7_Beam         -> Plat_B8_Ledge        walk    FAIL fell (peak rise 0.00)
Plat_B8_Ledge        -> Plat_B9_Ledge        walk    FAIL fell (peak rise 0.00)
Plat_B9_Ledge        -> Deck_South           walk    WARN landed on 'Platform_Start' instead of 'Deck_South'
Deck_South           -> Plat_K1              walk    FAIL fell (peak rise 0.00)
Plat_K1              -> Plat_K2              sprint  FAIL fell (peak rise 0.00)
Plat_K2              -> Plat_K3              sprint  FAIL fell (peak rise 0.00)
Plat_K3              -> Plat_K4              sprint  FAIL fell (peak rise 0.00)
Plat_K4              -> Plat_K5              sprint  FAIL fell (peak rise 0.00)
Plat_K5              -> Plat_K6              sprint  FAIL fell (peak rise 0.00)
Plat_K6              -> Plat_K7_TowerShelf   walk    WARN landed on '<none>' instead of 'Plat_K7_TowerShelf'
Plat_K7_TowerShelf   -> Ledge_W1             sprint  FAIL fell (peak rise 0.00)
Ledge_W1             -> Ledge_W2             walk    FAIL fell (peak rise 0.00)
Ledge_W2             -> Ledge_W3             walk    FAIL fell (peak rise 0.00)
Ledge_W3             -> Ledge_N1             walk    FAIL fell (peak rise 0.00)
Ledge_N1             -> Ledge_N2             walk    FAIL fell (peak rise 0.00)
Ledge_N2             -> Ledge_N3             walk    FAIL fell (peak rise 0.00)
Ledge_N3             -> Ledge_E1             walk    FAIL fell (peak rise 0.12)
Ledge_E1             -> Finish_TowerCap      walk    WARN landed on 'Ledge_N3' instead of 'Finish_TowerCap'

=== RESULT: 31 failure(s), 9 warning(s) ===
