walk=6 sprint=9 jumpHeight=1.5 gravity=-9 launch=5.196
footing allowance=0.4 m

jump                                    rise   gap   reach  slack  speed   verdict
Platform_Start         -> Plat_S1               0.00  2.50   6.93   4.03  walk   OK
Plat_S1                -> Plat_S2               0.40  3.00   6.43   3.03  walk   OK
Plat_S2                -> Plat_S3               0.40  3.00   6.43   3.03  walk   OK
Plat_S3                -> Plat_S4               0.40  3.50   6.43   2.53  walk   OK
Plat_S4                -> Plat_S5               0.50  4.00   6.29   1.89  walk   OK
Plat_S5                -> Plat_S6               0.50  3.64   6.29   2.25  walk   OK
Plat_S6                -> Plat_S7               0.60  3.25   6.15   2.50  walk   OK
Plat_S7                -> Plat_S8_Pillar        0.70  3.16   5.99   2.43  walk   OK
Plat_S8_Pillar         -> Deck_North            0.60  2.00   6.15   3.75  walk   OK
Deck_North             -> Plat_B1               0.20  3.00   6.69   3.29  walk   OK
Plat_B1                -> Plat_B2               0.40  6.00   9.65   3.25  sprint OK
Plat_B2                -> Plat_B3               0.40  6.00   9.65   3.25  sprint OK
Plat_B3                -> Plat_B4               0.70  3.60   5.99   1.99  walk   OK
Plat_B4                -> Plat_B5               0.70  3.60   5.99   1.99  walk   OK
Plat_B5                -> Plat_B6               0.70  3.60   5.99   1.99  walk   OK
Plat_B6                -> Plat_B7_Beam          0.50  1.00   6.29   4.89  walk   OK
Plat_B7_Beam           -> Plat_B8_Ledge         1.00  1.00   5.46   4.06  walk   OK
Plat_B8_Ledge          -> Plat_B9_Ledge         1.00  1.12   5.46   3.95  walk   OK
Plat_B9_Ledge          -> Deck_South            0.80  1.00   5.83   4.43  walk   OK
Deck_South             -> Plat_K1               0.20  4.72   6.69   1.57  walk   OK
Plat_K1                -> Plat_K2               0.40  6.00   9.65   3.25  sprint OK
Plat_K2                -> Plat_K3               0.40  6.00   9.65   3.25  sprint OK
Plat_K3                -> Plat_K4               0.60  6.50   9.22   2.32  sprint OK
Plat_K4                -> Plat_K5               0.60  6.00   9.22   2.82  sprint OK
Plat_K5                -> Plat_K6               0.60  6.00   9.22   2.82  sprint OK
Plat_K6                -> Plat_K7_TowerShelf    0.60  4.00   6.15   1.75  walk   OK
Plat_K7_TowerShelf     -> Ledge_W1              1.00  4.00   8.20   3.80  sprint OK
Ledge_W1               -> Ledge_W2              1.00  2.00   5.46   3.06  walk   OK
Ledge_W2               -> Ledge_W3              1.00  2.00   5.46   3.06  walk   OK
Ledge_W3               -> Ledge_N1              1.00  1.80   5.46   3.26  walk   OK
Ledge_N1               -> Ledge_N2              1.00  2.00   5.46   3.06  walk   OK
Ledge_N2               -> Ledge_N3              1.00  2.00   5.46   3.06  walk   OK
Ledge_N3               -> Ledge_E1              0.80  1.80   5.83   3.63  walk   OK
Ledge_E1               -> Finish_TowerCap       0.80  0.20   5.83   5.23  walk   OK
--- 34 jumps checked: 0 fail, 0 tight ---

orphan check (WORLD children that still carry geometry):
  none - all geometry is grouped

corridor intrusion check (non-course geometry inside the play volume):
  INTRUSION Accent_FinishTower (group ENV_DETAILS) bounds (0.00, 7.00, 81.90) size (0.60, 12.00, 0.14)
  1 intrusion(s) - review each
